Product Name,Product Description,Product Categories,Product Price,Product Price per person,Minimum Price Per Person,Product Sub-category,Vegan,Gluten Free,Halal,Kind
Butter Croissants,,Baked Goods & Coffee,60,3,,Baked-Goods-Platter,FALSE,FALSE,FALSE,Platter
Butter Flavoured Popcorn,,Snacks & Drinks,7,,7,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
Caramel Coconut Cookies,,Snacks & Drinks,6,,6,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
Caramel Macchiato Cookies,,Specialty Desserts,115,5.75,,5oz Cookies,FALSE,FALSE,FALSE,Platter
Caramel Popcorn,,Snacks & Drinks,7,,7,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
Chana Masala,"Chickpeas cooked in onion, garlic, ginger & light tomato sauce",Indian,140,7,,Curry-Platter,FALSE,FALSE,FALSE,Platter
Chana Masala Combo,"Chana Masala with Dal Makhani, Rice & Naan ",Indian,19,,,Individual-Combo,FALSE,FALSE,FALSE,Individual
Chana Masala Combo with Dessert,"Chana Masala with Dal Makhani, Rice, Naan & Gulab Jamun",Indian,20,,,Individual-Combo-with-Dessert,TRUE,FALSE,FALSE,Individual
Cheddar Habanero Dip,,Pizza,1.5,,,Dips,FALSE,FALSE,FALSE,Individual
Cheesy Bread,,Pizza,10,,,Breads,FALSE,FALSE,FALSE,Individual
Cherry Sparkling Water (12 Pack),,Snacks & Drinks,14,,14,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
Chicken & Clear Noodle Salad,Clear noodles with spicy sesame sauce & shredded chicken,Chinese,100,5,,Appetizer-Platter,FALSE,FALSE,FALSE,Platter
Chicken + Gyro Meal Platter,"Beef gyro & grilled chicken with basmati rice, lettuce, tomatoes, olives, pita bread, white sauce & hot sauce.",Mediterranean,400,20,,Meal-Platters,FALSE,FALSE,TRUE,Platter
Chicken Bento Box,,Japanese,19,,,Individually-Packed-Bowls,FALSE,FALSE,FALSE,Individual
Chicken Biryani,Basmati rice cooked with chicken & Indian spices,Indian,140,7,,Rice-Platter,FALSE,FALSE,FALSE,Platter
Chicken Bowl,"Grilled chicken with basmati rice, lettuce, tomatoes, green pepper, onion, pita bread, white sauce & hot sauce.",Mediterranean,18,,,Individually-Packed-Bowls,FALSE,FALSE,TRUE,Individual
